courier_warehouse,active_stuck_shipments,avg_hours_stuck,median_dwell_hours,p90_dwell_hours,priority_category
COD PROCESSING CENTRE II,390,57.7,24.28,51.7,Prioritize for Clearing
BHIWANDI HUB,275,64.04,20.33,62.15,Prioritize for Clearing
"DEL/LH1, GURGAON, HARYANA",209,59.73,12.09,47.31,Prioritize for Clearing
BENGALURU ETAIL HUB,160,49.35,6.6,48.58,Prioritize for Clearing
ASLALI WAREHOUSE,113,58.22,9.57,44.95,Prioritize for Clearing
"SURAT/LH1, SURAT, GUJARAT",90,57.33,21.47,48.1,Prioritize for Clearing
OVALI ETAIL HUB,73,53.88,24.25,36.27,Prioritize for Clearing
CCUH,61,69.28,11.61,33.21,Prioritize for Clearing
HINJEWADI WAREHOUSE,51,50.96,26.38,41.02,Prioritize for Clearing
"NGP/LH1, NAGPUR, MAHARASHTRA",50,50.78,21.22,45.12,Prioritize for Clearing
"DEL/LH3, GURGAON, HARYANA",48,63.38,42.25,72.61,Prioritize for Clearing
"JAI/LH1, JAIPUR, RAJASTHAN",41,59.48,11.02,35.75,Prioritize for Clearing
DELH,40,59.02,10.08,23.91,Prioritize for Clearing
AMD,38,82.39,11.4,23.19,Prioritize for Clearing
"BHIWANDI/LH1, BHIWANDI, MAHARASHTRA",34,70.16,18.6,60.83,Prioritize for Clearing
LUDHIANA,33,60.64,17.57,61.39,Prioritize for Clearing
"GURUGRAM, HARYANA, IN",29,80.84,9.95,60.59,Prioritize for Clearing
IXCH,28,79.01,11.37,29.55,Prioritize for Clearing
SURAT,26,69.13,14.54,35.51,Prioritize for Clearing
BOMH,25,66.38,9.62,24.43,Prioritize for Clearing
NADIA,23,76.47,6.34,70.8,Prioritize for Clearing
PUNE - PNQ,22,54.04,17.25,36.0,Prioritize for Clearing
ERNAKULAM,19,59.87,19.69,58.08,Prioritize for Clearing
JALPAIGURI,17,71.72,21.84,77.26,Prioritize for Clearing
GUWAHATI,15,69.65,23.84,95.78,Prioritize for Clearing
ULUBERIA,14,65.66,14.79,62.31,Prioritize for Clearing
BENGALURU,14,65.22,19.51,44.13,Prioritize for Clearing
"GAU/LH1, GUWAHATI, ASSAM",14,105.26,13.6,29.59,Prioritize for Clearing
JHAJJHAR,13,62.58,18.74,50.01,Prioritize for Clearing
COIMBATORE,13,59.19,3.35,49.41,Prioritize for Clearing
HYDH,12,65.18,10.64,24.76,Prioritize for Clearing
GURGAON,10,56.06,15.57,41.63,Prioritize for Clearing
HYDERABAD,10,75.7,21.44,38.86,Prioritize for Clearing
JAIPUR,9,60.1,18.01,49.61,Prioritize for Clearing
COKH,9,79.55,17.7,30.46,Prioritize for Clearing
HYDERABAD HUB,9,117.57,10.92,23.6,Prioritize for Clearing
KONA WAREHOUSE,8,68.95,11.77,59.79,Prioritize for Clearing
SURAT GROUND HUB,8,65.11,27.31,45.13,Prioritize for Clearing
BLRH,8,110.33,4.46,18.4,Prioritize for Clearing
"HYD/BRB, HYDERABAD, TELANGANA",7,277.78,31.33,95.77,Prioritize for Clearing
GURUGRAM - GGN,7,58.62,18.66,59.03,Prioritize for Clearing
"TAORU, HARYANA, IN",7,62.62,12.47,52.74,Prioritize for Clearing
CHENNAI,7,63.66,11.93,45.53,Prioritize for Clearing
"CHENNAI, TAMIL NADU, IN",7,123.38,8.09,26.08,Prioritize for Clearing
BHWE,6,86.73,29.66,81.19,Prioritize for Clearing
PATNA,6,67.85,18.4,62.71,Prioritize for Clearing
RAIPUR,6,56.78,25.26,41.24,Prioritize for Clearing
"BLR/LH1, BANGALORE, KARNATAKA",6,66.37,10.13,26.81,Prioritize for Clearing
PNQH,6,79.14,15.22,26.77,Prioritize for Clearing
BLR,6,76.66,9.66,22.96,Prioritize for Clearing
RANCHI,5,58.59,17.41,52.41,Prioritize for Clearing
BANGALORE,5,62.68,18.72,39.36,Prioritize for Clearing
"BHIWANDI, MAHARASHTRA, IN",5,57.74,9.58,36.12,Prioritize for Clearing
AMDH,5,50.33,4.39,20.82,Prioritize for Clearing
"VIJ/LH1, VIJAYAWADA, ANDHRA PRADESH",5,215.89,8.83,19.23,Prioritize for Clearing
"HYD/IB1, HYDERABAD, TELANGANA",5,85.38,6.59,12.78,Prioritize for Clearing
HOWA,4,71.73,42.96,168.0,Prioritize for Clearing
MUMBAI - MUM,4,63.97,16.76,76.15,Prioritize for Clearing
HMNG,4,100.68,22.37,69.84,Prioritize for Clearing
CJBS,4,70.8,27.14,67.43,Prioritize for Clearing
COCHIN,4,67.18,17.06,62.27,Prioritize for Clearing
ALVA,4,58.95,23.83,49.99,Prioritize for Clearing
MDME,4,67.34,26.18,48.85,Prioritize for Clearing
"SLG/HUB, SILIGURI, WEST BENGAL",4,185.3,12.31,25.21,Prioritize for Clearing
WADALA,4,195.95,7.87,11.12,Prioritize for Clearing
"COK/EKC, COCHIN, KERALA",3,238.63,58.77,148.5,Prioritize for Clearing
ELUC,3,89.51,121.5,121.5,Prioritize for Clearing
"IDR/LAS, INDORE, MADHYA PRADESH",3,101.83,29.97,92.06,Prioritize for Clearing
DALE,3,65.44,26.82,75.91,Prioritize for Clearing
CUTTACK,3,59.76,18.16,65.08,Prioritize for Clearing
HAJIPUR,3,66.32,30.08,60.4,Prioritize for Clearing
CARH,3,98.37,26.1,52.43,Prioritize for Clearing
GAUH,3,56.91,18.77,49.75,Prioritize for Clearing
"RKT/PC, RAJKOT, GUJARAT",3,187.6,18.58,31.35,Prioritize for Clearing
FARUKHNAGAR,3,192.34,5.92,31.14,Prioritize for Clearing
CAHM,3,359.25,4.79,30.92,Prioritize for Clearing
DEHRADUN E-TAIL,3,110.84,7.93,29.73,Prioritize for Clearing
"SAL/HUB, SALEM, TAMIL NADU",3,90.68,11.25,24.35,Prioritize for Clearing
ROHTAK,3,159.43,9.61,23.6,Prioritize for Clearing
"NEW DELHI, DELHI, IN",3,162.54,6.34,11.77,Prioritize for Clearing
FKL-MUMFLEXSAI4,3,114.92,0.0,7.11,Prioritize for Clearing
"BAGALUR, BAGALUR, KARNATAKA",2,169.47,19.42,131.23,Prioritize for Clearing
MULM,2,61.97,10.93,76.69,Prioritize for Clearing
KHND,2,63.64,30.5,70.19,Prioritize for Clearing
DEHRADUN,2,65.03,16.7,59.48,Prioritize for Clearing
PCAR,2,66.7,29.41,57.01,Prioritize for Clearing
LPRL,2,73.87,27.0,53.46,Prioritize for Clearing
NNPM,2,244.89,27.68,51.6,Prioritize for Clearing
GANDHINAGAR,2,81.74,4.17,42.35,Prioritize for Clearing
TADONG ETAIL,2,107.76,26.17,33.82,Prioritize for Clearing
"BETMA, BETMA, MADHYA PRADESH",2,95.43,30.62,32.69,Prioritize for Clearing
PUNE,2,110.11,13.9,28.45,Prioritize for Clearing
AIR HUB IN SIW,2,90.82,15.67,27.95,Prioritize for Clearing
PALWAL,2,144.04,19.27,25.85,Prioritize for Clearing
"GWL/HUB, GWALIOR, MADHYA PRADESH",2,135.16,11.45,25.0,Prioritize for Clearing
LUDHIANA (LUDI),2,282.79,9.41,24.03,Prioritize for Clearing
"MFP/HUB, MUZAFFARPUR, BIHAR",2,83.32,10.93,22.48,Prioritize for Clearing
"DEL/BHN, DELHI NCR, DELHI",2,94.49,17.19,22.47,Prioritize for Clearing
"BOUDH, BOUDH, ORISSA",2,93.69,15.42,22.47,Prioritize for Clearing
KOLKATA HUB,2,108.44,7.59,20.97,Prioritize for Clearing
"PAT/PWS, PATNA, BIHAR",2,90.81,19.94,20.75,Prioritize for Clearing
FKL-MHMALUR_EXT,2,142.36,7.53,18.71,Prioritize for Clearing
"PAT/LH1, PATNA, BIHAR",2,111.95,9.77,17.35,Prioritize for Clearing
FKL_HYDPATAN,2,162.8,0.0,16.49,Prioritize for Clearing
"JLD/HUB, JALANDHAR, PUNJAB",2,113.46,7.07,12.46,Prioritize for Clearing
OVALI WAREHOUSE,2,222.29,5.36,10.47,Prioritize for Clearing
"SRT/PC2, SURAT, GUJARAT",2,193.99,3.72,9.66,Prioritize for Clearing
"DEL/PC1, DELHI NCR, DELHI",2,73.84,4.12,9.52,Prioritize for Clearing
"SAMOD, CHOMU, RAJASTHAN",2,90.88,0.0,0.0,Prioritize for Clearing
"KHARIAR, KHARIAR, ORISSA",2,92.25,0.0,0.0,Prioritize for Clearing
"NEDUMKANDAM, KATTAPANA, KERALA",2,163.63,0.0,0.0,Prioritize for Clearing
BHAGA BAZAR,2,134.25,0.0,0.0,Prioritize for Clearing
"MIRAMAR, GOA, GOA",1,310.28,58.24,169.04,Prioritize for Clearing
"KER/SA-KANHANGAD, KASARGODE, KERALA",1,284.93,128.73,128.73,Prioritize for Clearing
ANGR,1,66.56,27.68,105.29,Prioritize for Clearing
"NAJIBABAD, NAJIBABAD, UTTAR PRADESH",1,116.33,28.42,103.26,Prioritize for Clearing
"HOJAI, ASSAM, IN",1,60.92,98.22,98.22,Prioritize for Clearing
MAPUSA,1,63.97,12.47,85.03,Prioritize for Clearing
"MANGRULPIR, MAHARASHTRA, IN",1,139.08,41.28,82.18,Prioritize for Clearing
CPHG,1,67.32,34.62,81.32,Prioritize for Clearing
JBLM,1,90.05,28.68,77.41,Prioritize for Clearing
"BASUDEVPUR, BASUDEVPUR, ORISSA",1,68.19,23.91,77.13,Prioritize for Clearing
"JAI/PKM1, JAIPUR, RAJASTHAN",1,69.04,24.35,76.11,Prioritize for Clearing
GANDIPET,1,69.12,22.28,66.98,Prioritize for Clearing
GBL SERVICE CENTRE,1,63.92,36.45,66.83,Prioritize for Clearing
AGRA,1,48.29,27.32,63.88,Prioritize for Clearing
"ITANAGAR, ITANAGAR, ARUNACHAL PRADESH",1,65.5,27.97,62.81,Prioritize for Clearing
VYTL,1,59.2,23.67,62.04,Prioritize for Clearing
SILCHAR,1,62.82,23.83,59.58,Prioritize for Clearing
PORVORIM - POG,1,63.97,53.87,53.88,Prioritize for Clearing
"CHANGODAR GIDC, GUJARAT, IN",1,51.53,14.05,53.39,Prioritize for Clearing
"JAI/KNK, JAIPUR, RAJASTHAN",1,165.13,24.4,53.03,Prioritize for Clearing
"DEL/JWN, NEW DELHI, DELHI",1,63.29,26.44,52.6,Prioritize for Clearing
SURM,1,54.77,25.36,52.13,Prioritize for Clearing
BANGALORE PUD (BLRS),1,235.23,14.31,51.74,Prioritize for Clearing
SANGAMNER,1,49.48,24.29,51.66,Prioritize for Clearing
GUTE,1,65.37,25.35,51.36,Prioritize for Clearing
"ASANGAON, ASANGAON, MAHARASHTRA",1,69.48,50.35,50.35,Prioritize for Clearing
SECB,1,57.6,21.04,50.0,Prioritize for Clearing
"DEL/JPR, NEW DELHI, DELHI",1,142.9,21.25,49.9,Prioritize for Clearing
NIDA,1,236.68,18.82,49.84,Prioritize for Clearing
"MANDREM, PERNEM, GOA",0,0.0,172.87,310.09,Prioritize for Clearing
"BOM/SRE-EHV, MUMBAI, MAHARASHTRA",0,0.0,153.61,309.76,Prioritize for Clearing
"RAYALAM, BHIMAVARAM, ANDHRA PRADESH",0,0.0,247.6,247.6,Prioritize for Clearing
"VENGARA, KANNUR, KERALA",0,0.0,30.65,208.38,Prioritize for Clearing
"HYD/CTL, HYDERABAD, TELANGANA",0,0.0,30.31,207.79,Prioritize for Clearing
TOWN MINI HUB,0,0.0,112.22,193.91,Prioritize for Clearing
"BOM/SA-VRA, VIRAR, MAHARASHTRA",0,0.0,87.64,183.65,Prioritize for Clearing
"THALAYOLAPARAMBU, KOTTAYAM, KERALA",0,0.0,26.32,181.75,Prioritize for Clearing
"BOM/MAT, MUMBAI, MAHARASHTRA",0,0.0,46.49,177.83,Prioritize for Clearing
KANDIVALI (KNDE),0,0.0,174.04,174.04,Prioritize for Clearing
"LUD/LUD, LUDHIANA, PUNJAB",0,0.0,44.36,171.93,Prioritize for Clearing
SMARTR HQ,0,0.0,151.98,158.51,Prioritize for Clearing
"MAA/RED, CHENNAI, TAMIL NADU",0,0.0,95.29,154.29,Prioritize for Clearing
BEGUSARAI,0,0.0,20.58,151.66,Prioritize for Clearing
"SEVAD BARI, SEVAD BARI, RAJASTHAN",0,0.0,150.79,150.79,Prioritize for Clearing
"BOM/SRE, MUMBAI, MAHARASHTRA",0,0.0,30.26,131.89,Prioritize for Clearing
"BOM/SA-DHARAVI, MUMBAI, MAHARASHTRA",0,0.0,131.82,131.82,Prioritize for Clearing
MANESAR (MANN),0,0.0,88.62,131.29,Prioritize for Clearing
"HIMMAT NAGAR, HIMMAT NAGAR, GUJARAT",0,0.0,38.57,127.51,Prioritize for Clearing
"BOISAR, BOISAR, MAHARASHTRA",0,0.0,26.71,127.12,Prioritize for Clearing
JODHPUR,0,0.0,19.96,122.0,Prioritize for Clearing
"JANDU SINGHA, JALANDHAR, PUNJAB",0,0.0,114.5,121.61,Prioritize for Clearing
SAIHA,0,0.0,119.51,119.51,Prioritize for Clearing
CALW,0,0.0,95.67,119.01,Prioritize for Clearing
"SXR/RNW, SRINAGAR, JAMMU AND KASHMIR",0,0.0,46.19,116.75,Prioritize for Clearing
"SXR/NGM1, SRINAGAR, JAMMU AND KASHMIR",0,0.0,67.78,115.89,Prioritize for Clearing
"DABRA, DABRA, MADHYA PRADESH",0,0.0,29.5,114.39,Prioritize for Clearing
"EDAKUNNAM, EDAKUNNAM, KERALA",0,0.0,75.9,113.47,Prioritize for Clearing
"MALBAZAR, MALBAZAR, WEST BENGAL",0,0.0,30.74,113.42,Prioritize for Clearing
"PRATAPGARH-RJ, PRATAPGARHRJ, RAJASTHAN",0,0.0,111.99,111.99,Prioritize for Clearing
"DEWAS1, DEWAS, MADHYA PRADESH",0,0.0,12.95,109.68,Prioritize for Clearing
JAMSHEDPUR,0,0.0,12.91,106.54,Prioritize for Clearing
"UKWA, UKWA, MADHYA PRADESH",0,0.0,54.22,106.05,Prioritize for Clearing
"PODILI, PODILI, ANDHRA PRADESH",0,0.0,84.17,103.76,Prioritize for Clearing
"IEEJA, IEEJA, ANDHRA PRADESH",0,0.0,44.01,103.23,Prioritize for Clearing
"DALSINGHSARAI, DALSINGHSARAI, BIHAR",0,0.0,20.01,102.58,Prioritize for Clearing
"BADNERA, BADNERA, MAHARASHTRA",0,0.0,102.51,102.51,Prioritize for Clearing
"BHUSAWAL CITY, BHUSAWAL, MAHARASHTRA",0,0.0,12.6,101.69,Prioritize for Clearing
"IDR/MSR, INDORE, MADHYA PRADESH",0,0.0,11.69,99.97,Prioritize for Clearing
"PNQ/JMR, PUNE, MAHARASHTRA",0,0.0,22.1,99.25,Prioritize for Clearing
"KALYANWEST, KALYAN, MAHARASHTRA",0,0.0,35.12,98.12,Prioritize for Clearing
"FAZILKA, FAZILKA, PUNJAB",0,0.0,97.68,97.68,Prioritize for Clearing
"BEAS, BEAS, PUNJAB",0,0.0,76.59,97.17,Prioritize for Clearing
"HOJAI, HOJAI, ASSAM",0,0.0,33.83,97.11,Prioritize for Clearing
AURH,0,0.0,27.16,96.82,Prioritize for Clearing
LUNGLEI,0,0.0,81.88,96.56,Prioritize for Clearing
CALP,0,0.0,31.21,96.53,Prioritize for Clearing
MATHLIMDH_MTH,0,0.0,96.41,96.41,Prioritize for Clearing
"ROHTAK, ROHTAK, HARYANA",0,0.0,30.6,95.8,Prioritize for Clearing
"SUDHAR, SUDHAR, PUNJAB",0,0.0,16.04,95.37,Prioritize for Clearing
"BOM/MLD, MUMBAI, MAHARASHTRA",0,0.0,33.49,93.92,Prioritize for Clearing
GNON,0,0.0,23.49,93.91,Prioritize for Clearing
CHANDIGARH (CARH),0,0.0,93.27,93.27,Prioritize for Clearing
MUVATTUPUZHAHUB_MVA,0,0.0,92.08,92.08,Prioritize for Clearing
"ZUARINAGAR, GOA, GOA",0,0.0,75.85,91.63,Prioritize for Clearing
"MAA/ASN-TML, CHENNAI, TAMIL NADU",0,0.0,25.65,90.68,Prioritize for Clearing
POONCH,0,0.0,82.42,90.28,Prioritize for Clearing
"BABULPETH, CHANDRAPUR, MAHARASHTRA",0,0.0,74.39,89.85,Prioritize for Clearing
"AMARAVILA, NEYYATTINKARA, KERALA",0,0.0,59.42,89.2,Prioritize for Clearing
"ASKA, ASKA, ORISSA",0,0.0,73.24,89.15,Prioritize for Clearing
"BIJAYNAGAR, BIJAYNAGAR, ASSAM",0,0.0,42.33,88.88,Prioritize for Clearing
"WADI1, NAGPUR, MAHARASHTRA",0,0.0,41.74,88.6,Prioritize for Clearing
"KONNI, PATHANAMTHITTA, KERALA",0,0.0,63.43,88.57,Prioritize for Clearing
MUNGERCITYHUB_MCT,0,0.0,87.38,87.38,Prioritize for Clearing
PARRYS,0,0.0,37.63,86.63,Prioritize for Clearing
"NAGAUR, NAGAUR, RAJASTHAN",0,0.0,37.34,86.54,Prioritize for Clearing
"HYD/NAL-TML, HYDERABAD, TELANGANA",0,0.0,23.24,86.51,Prioritize for Clearing
ALMORA,0,0.0,31.87,86.05,Prioritize for Clearing
TRANSPORT NAGAR LUCKNOW (LCKT),0,0.0,13.96,86.0,Prioritize for Clearing
GUNC,0,0.0,42.73,85.39,Prioritize for Clearing
"BLR/HUL-TML, BANGALORE, KARNATAKA",0,0.0,24.8,85.02,Prioritize for Clearing
PATTOMHUB_TRV,0,0.0,47.73,83.44,Prioritize for Clearing
VRS APEX/SFC PUD,0,0.0,82.98,82.98,Prioritize for Clearing
BUXARHUB_BXR,0,0.0,82.84,82.84,Prioritize for Clearing
TEMPLECITYHUB_IXM,0,0.0,82.33,82.33,Prioritize for Clearing
SASKODUNGALLURODH_KLL,0,0.0,82.07,82.07,Prioritize for Clearing
NOHAR,0,0.0,34.48,82.0,Prioritize for Clearing
"CANACONA, GOA, GOA",0,0.0,38.21,81.79,Prioritize for Clearing
"WAIDHAN, WAIDHAN, MADHYA PRADESH",0,0.0,39.52,81.7,Prioritize for Clearing
HOOGLY BDEL,0,0.0,24.33,81.03,Prioritize for Clearing
"MAJALGAON, MAJALGAON, MAHARASHTRA",0,0.0,80.79,80.79,Prioritize for Clearing
KORAMANGALA,0,0.0,10.55,80.27,Prioritize for Clearing
